Timestamp,Symbol,LTP,Buy_Qty,Sell_Qty,Difference,Buy_%_Change,Sell_%_Change
2026-02-23 10:16:03,YESBANK,20.99,603900,866894,-262994,1.44,12.27
2026-02-23 10:16:33,IDEA,10.97,4810991,3866122,944869,11.1,-13.15
2026-02-23 10:16:34,YESBANK,20.98,572798,662091,-89293,-5.15,-23.62
2026-02-23 10:17:04,IDEA,10.98,4691781,3743072,948709,-2.48,-3.18
2026-02-23 10:17:04,YESBANK,20.97,582808,665754,-82946,1.75,0.55
2026-02-23 10:17:45,IDEA,10.99,4883218,3756074,1127144,4.08,0.35
2026-02-23 10:17:45,YESBANK,20.98,502274,711981,-209707,-13.82,6.94
2026-02-23 10:18:36,IDEA,10.99,5369558,3563651,1805907,-0.71,1.2
2026-02-23 10:18:37,YESBANK,20.98,537049,689022,-151973,-41.38,-3.94
2026-02-23 10:19:07,IDEA,10.99,5610990,3462094,2148896,4.5,-2.85
2026-02-23 10:19:07,YESBANK,20.98,597520,741359,-143839,11.26,7.6
2026-02-23 10:19:37,IDEA,10.99,5807223,3490023,2317200,3.5,0.81
2026-02-23 10:19:38,YESBANK,20.98,954810,756570,198240,59.8,2.05
2026-02-23 10:20:08,IDEA,10.99,5336188,3743078,1593110,-8.11,7.25
2026-02-23 10:20:08,YESBANK,20.98,715847,698012,17835,-25.03,-7.74
2026-02-23 10:20:38,IDEA,10.99,5348697,3655792,1692905,0.23,-2.33
2026-02-23 10:20:39,YESBANK,20.97,689197,798857,-109660,-3.72,14.45
2026-02-23 10:21:19,IDEA,10.98,5742410,3290117,2452293,7.36,-10.0
2026-02-23 10:21:19,YESBANK,20.97,885601,833205,52396,28.5,4.3
2026-02-23 10:21:50,IDEA,10.99,5036248,3616108,1420140,-12.3,9.91
2026-02-23 10:21:50,YESBANK,20.97,869933,859129,10804,-1.77,3.11
2026-02-23 10:22:21,IDEA,10.99,5187071,3489440,1697631,2.99,-3.5
2026-02-23 10:22:21,YESBANK,20.97,885670,858810,26860,1.81,-0.04
2026-02-23 10:22:52,IDEA,10.99,5636481,3742501,1893980,8.66,7.25
2026-02-23 10:22:52,YESBANK,20.97,818769,779840,38929,-7.55,-9.2
2026-02-23 10:23:22,IDEA,10.99,5765405,3656399,2109006,2.29,-2.3
2026-02-23 10:23:22,YESBANK,20.97,505854,865976,-360122,-38.22,11.05
2026-02-23 10:23:47,10:23:47,IDEA,10.98,5760677,3262599,2498078,0.0,0.0,NEUTRAL
