Timestamp,Time,Symbol,LTP,Buy_Qty,Sell_Qty,Difference,Buy_%_Change_3min,Sell_%_Change_3min,Signal
2026-02-25 10:17:46,10:17:46,YESBANK,20.86,245609,695543,-449934,-49.3,-0.66,NEUTRAL
2026-02-25 10:18:17,10:18:17,IDEA,10.93,4350678,4902274,-551596,-6.37,16.76,SELL SIGNAL
2026-02-25 10:18:17,10:18:17,YESBANK,20.86,379422,603679,-224257,1.14,-10.03,NEUTRAL
2026-02-25 10:18:48,10:18:48,IDEA,10.93,3923202,5331818,-1408616,-14.31,21.72,SELL SIGNAL
2026-02-25 10:18:48,10:18:48,YESBANK,20.87,385792,697784,-311992,18.84,6.07,NEUTRAL
2026-02-25 10:19:19,10:19:19,IDEA,10.94,4166725,5727545,-1560820,-5.52,20.16,SELL SIGNAL
2026-02-25 10:19:19,10:19:19,YESBANK,20.85,344641,783035,-438394,5.81,15.54,SELL SIGNAL
2026-02-25 10:19:50,10:19:50,IDEA,10.93,6123042,5255628,867414,31.85,6.24,BUY SIGNAL
2026-02-25 10:19:51,10:19:51,YESBANK,20.85,347555,719942,-372387,5.94,7.53,NEUTRAL
2026-02-25 10:20:21,10:20:21,IDEA,10.92,6105368,5389296,716072,25.17,6.32,BUY SIGNAL
2026-02-25 10:20:21,10:20:21,YESBANK,20.85,328184,728171,-399987,-3.06,3.33,NEUTRAL
2026-02-25 10:20:51,10:20:51,IDEA,10.93,6134460,5636173,498287,19.49,4.88,BUY SIGNAL
2026-02-25 10:20:52,10:20:52,YESBANK,20.85,744905,464418,280487,76.62,-30.29,BUY SIGNAL
2026-02-25 10:21:22,10:21:22,IDEA,10.91,6308460,5624296,684164,15.54,2.37,BUY SIGNAL
2026-02-25 10:21:22,10:21:22,YESBANK,20.84,698208,548174,150034,47.03,-16.55,BUY SIGNAL
2026-02-25 10:21:52,10:21:52,IDEA,10.92,5953964,5231841,722123,2.68,-4.48,NEUTRAL
2026-02-25 10:21:52,10:21:52,YESBANK,20.85,778908,556478,222430,44.14,-12.14,BUY SIGNAL
2026-02-25 10:26:09,10:26:09,IDEA,10.93,5790662,5758531,32131,-4.59,5.03,NEUTRAL
2026-02-25 10:26:09,10:26:09,YESBANK,20.84,958485,561889,396596,49.13,-5.8,BUY SIGNAL
2026-02-25 10:26:40,10:26:40,IDEA,10.92,6026031,5610168,415863,-0.45,1.24,NEUTRAL
2026-02-25 10:26:40,10:26:40,YESBANK,20.83,813246,713732,99514,12.9,19.86,BUY SIGNAL
2026-02-25 10:27:10,10:27:10,IDEA,10.92,6205480,5464954,740526,2.23,-1.61,NEUTRAL
2026-02-25 10:27:10,10:27:10,YESBANK,20.83,796419,713387,83032,-0.24,20.3,NEUTRAL
2026-02-25 10:27:41,10:27:41,IDEA,10.92,6184601,5446810,737791,1.75,-1.38,NEUTRAL
2026-02-25 10:27:41,10:27:41,YESBANK,20.84,788476,698125,90351,-2.13,10.47,NEUTRAL
2026-02-25 10:28:11,10:28:11,IDEA,10.92,5922668,5690335,232333,-1.52,2.83,NEUTRAL
2026-02-25 10:28:11,10:28:11,YESBANK,20.84,1177044,763580,413464,32.93,14.33,BUY SIGNAL
2026-02-25 10:28:42,10:28:42,IDEA,10.93,6264429,6620994,-356565,3.28,14.84,SELL SIGNAL
2026-02-25 10:28:42,10:28:42,YESBANK,20.83,1063507,695196,368311,14.0,0.61,BUY SIGNAL
2026-02-25 10:29:12,10:29:12,IDEA,10.93,6088283,6646777,-558494,-0.44,12.4,SELL SIGNAL
2026-02-25 10:29:13,10:29:13,YESBANK,20.83,1070684,694404,376280,12.52,-2.62,BUY SIGNAL
2026-02-25 10:29:43,10:29:43,IDEA,10.93,6083754,6923520,-839766,-0.67,12.9,SELL SIGNAL
2026-02-25 10:29:43,10:29:43,YESBANK,20.82,1092308,699856,392452,9.44,-1.53,NEUTRAL
2026-02-25 10:30:14,10:30:14,IDEA,10.92,6482766,6323183,159583,5.05,0.76,NEUTRAL
2026-02-25 10:30:14,10:30:14,YESBANK,20.83,1023747,710056,313691,-1.18,-0.02,NEUTRAL
2026-02-25 10:30:44,10:30:44,IDEA,10.93,6470869,6118414,352455,4.05,-4.21,NEUTRAL
2026-02-25 10:30:44,10:30:44,YESBANK,20.83,1058788,675980,382808,-2.06,-4.32,NEUTRAL
2026-02-25 10:31:15,10:31:15,IDEA,10.92,6385415,6590624,-205209,1.42,0.82,NEUTRAL
2026-02-25 10:31:15,10:31:15,YESBANK,20.82,1134158,673237,460921,5.61,-2.63,NEUTRAL
2026-02-25 10:31:45,10:31:45,IDEA,10.92,6806820,6053773,753047,6.58,-6.04,NEUTRAL
2026-02-25 10:31:45,10:31:45,YESBANK,20.83,1109829,656418,453411,2.61,-4.17,NEUTRAL
2026-02-25 10:32:16,10:32:16,IDEA,10.93,7235472,5632072,1603400,10.0,-10.23,BUY SIGNAL
2026-02-25 10:32:16,10:32:16,YESBANK,20.84,907703,692411,215292,-13.91,1.13,NEUTRAL
2026-02-25 10:32:46,10:32:46,IDEA,10.92,7155216,5589255,1565961,5.91,-7.63,NEUTRAL
2026-02-25 10:32:46,10:32:46,YESBANK,20.83,874436,681314,193122,-14.11,-0.04,NEUTRAL
2026-02-25 10:33:17,10:33:17,IDEA,10.93,7246566,6406679,839887,5.28,5.63,NEUTRAL
2026-02-25 10:33:17,10:33:17,YESBANK,20.85,717537,840636,-123099,-25.8,19.52,SELL SIGNAL
2026-02-25 10:33:47,10:33:47,IDEA,10.92,7395070,6366756,1028314,5.08,4.26,NEUTRAL
2026-02-25 10:33:48,10:33:48,YESBANK,20.85,813902,808812,5090,-12.13,11.49,NEUTRAL
2026-02-25 10:34:18,10:34:18,IDEA,10.92,7379296,6365907,1013389,2.45,4.89,NEUTRAL
2026-02-25 10:34:18,10:34:18,YESBANK,20.85,788284,767863,20421,-9.25,3.59,NEUTRAL
2026-02-25 10:34:49,10:34:49,IDEA,10.93,7560028,6127164,1432864,3.16,0.75,NEUTRAL
2026-02-25 10:34:49,10:34:49,YESBANK,20.85,840506,777560,62946,2.04,2.12,NEUTRAL
2026-02-25 10:35:19,10:35:19,IDEA,10.92,6686463,6418294,268169,-7.61,3.32,NEUTRAL
2026-02-25 10:35:19,10:35:19,YESBANK,20.85,769609,814625,-45016,-3.88,4.2,NEUTRAL
2026-02-25 10:35:50,10:35:50,IDEA,10.92,6577079,6426165,150914,-7.89,1.17,NEUTRAL
2026-02-25 10:35:50,10:35:50,YESBANK,20.84,769777,810622,-40845,-1.72,0.9,NEUTRAL
2026-02-25 10:36:20,10:36:20,IDEA,10.93,6701415,6584558,116857,-4.94,3.18,NEUTRAL
2026-02-25 10:36:20,10:36:20,YESBANK,20.85,789603,803665,-14062,-0.71,0.81,NEUTRAL
2026-02-25 10:36:50,10:36:50,IDEA,10.94,5990222,6250569,-260347,-12.11,-1.75,NEUTRAL
2026-02-25 10:36:51,10:36:51,YESBANK,20.84,791156,778264,12892,-0.04,-1.75,NEUTRAL
