Time,Symbol,LTP,Buy_Qty,Sell_Qty,Diff,Prev_Buy,Buy_Diff,Buy_%_Change,Signal
19:13:18,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:13:21,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:13:22,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:13:25,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:13:25,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:13:28,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:13:28,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:13:32,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:13:32,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:13:35,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:13:35,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:13:39,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:13:39,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:13:42,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:13:42,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:13:45,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:13:46,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:13:49,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:13:49,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:13:52,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:13:53,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:13:56,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:13:56,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:13:59,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:13:59,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:14:03,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:14:03,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:14:06,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:14:06,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:14:10,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:14:10,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:14:13,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:14:13,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:14:17,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:14:17,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:14:20,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:14:20,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:14:23,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:14:24,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:14:27,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:14:27,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:14:30,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:14:30,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:14:34,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:14:34,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:14:37,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:14:37,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:14:41,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:14:41,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:14:44,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:14:44,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:14:48,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:14:48,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:14:51,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:14:51,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:14:55,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:14:55,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:14:58,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:14:58,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:15:01,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:15:02,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:15:05,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:15:05,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:15:08,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:15:09,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:15:12,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:15:12,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:15:15,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:15:16,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:15:19,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:15:19,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:15:22,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:15:23,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:15:26,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:15:26,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:15:29,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:15:29,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:15:33,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:15:33,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:15:37,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:15:37,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:15:40,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:15:40,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:15:44,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:15:44,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:15:47,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:15:47,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:15:51,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:15:51,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:15:54,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:15:54,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:15:58,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:15:58,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:16:01,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:16:01,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:16:04,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:16:05,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:16:08,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:16:08,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:16:11,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:16:12,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:16:15,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:16:15,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:16:18,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:16:19,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:16:22,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:16:22,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:16:25,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:16:26,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:16:29,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:16:29,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:16:32,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:16:32,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:16:36,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:16:36,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:16:39,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:16:39,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:16:43,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:16:43,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:16:46,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:16:46,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:16:50,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:16:50,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:16:53,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:16:53,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:16:56,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:16:57,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:17:00,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:17:00,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:17:04,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:17:04,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:17:07,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:17:07,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:17:11,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:17:11,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:17:14,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:17:15,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:17:18,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:17:18,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:17:21,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
